rowname,Estimate,Std..Error,z.value,Pr...z..,species
(Intercept),-2.435800764102376,0.07368440400863836,-33.05720928158441,1.2255018587256163e-239,American Coot
log10(previous_checklists + 1),-0.17583534304615167,0.028003501207723526,-6.279048528319569,3.406512624357223e-10,American Coot
MSID_prop,-0.5211760821507966,0.13379126379682865,-3.8954418050960244,9.801989542791088e-5,American Coot
occur,9.279339276405409,1.0377906574159768,8.941436512360102,3.841437708472841e-19,American Coot
log10(previous_checklists + 1):MSID_prop,0.12813528320593695,0.05411393153433542,2.3678797598476984,0.017890349093945195,American Coot
log10(previous_checklists + 1):occur,0.5275042799910691,0.4261473548889933,1.2378447828884873,0.21577361965807748,American Coot
MSID_prop:occur,-0.726008295941458,1.93142303944406,-0.37589294583046495,0.7069964850064688,American Coot
log10(previous_checklists + 1):MSID_prop:occur,-0.508878724775647,0.8348970246156446,-0.6095107657257681,0.5421859390637856,American Coot
(Intercept),-2.258630895669132,0.07459675007710091,-30.277872606174938,2.242345779529855e-201,American Coot
log10(previous_checklists + 1),-0.13120741878970923,0.029237851485063925,-4.487587566300355,7.2034207772896664e-6,American Coot
log10(MSID_total + 1),-0.40413343576074606,0.05949576369278169,-6.792642209747405,1.100981962377449e-11,American Coot
occur,8.566266191491374,1.0787701409293045,7.940770574268936,2.009290277341292e-15,American Coot
log10(previous_checklists + 1):log10(MSID_total + 1),0.03707744779101969,0.021919337252329984,1.6915405499807448,0.090733609942443,American Coot
log10(previous_checklists + 1):occur,0.2057816842852156,0.44780890255280276,0.4595301324116734,0.6458535187696859,American Coot
log10(MSID_total + 1):occur,-0.2566665773113555,0.9827955231458558,-0.2611596932083947,0.7939693598779833,American Coot
log10(previous_checklists + 1):log10(MSID_total + 1):occur,0.17178690572101185,0.3788570363829847,0.45343464479660167,0.6502357942190492,American Coot
(Intercept),-3.0704490621159772,0.37677911539383957,-8.149201844445383,3.663340574187445e-16,American Crow
log10(previous_checklists + 1),0.33151464860005647,0.14829287260300053,2.2355400012215334,0.025381918560778892,American Crow
MSID_prop,0.7998238170897274,0.6285954666601091,1.2723983221504904,0.2032316299263129,American Crow
occur,3.3125548604235355,0.5477331067608685,6.047753585707106,1.4687937171858526e-9,American Crow
log10(previous_checklists + 1):MSID_prop,-0.3359013743760487,0.2674835557878093,-1.2557832700658214,0.20919455885293423,American Crow
log10(previous_checklists + 1):occur,-0.30202172679358263,0.2167295335685363,-1.3935420882455525,0.16345592691926122,American Crow
MSID_prop:occur,-0.9484205152772817,0.9168266445935638,-1.0344600267346329,0.30092115476952425,American Crow
log10(previous_checklists + 1):MSID_prop:occur,0.5453020743784416,0.3923291349902397,1.3899097103558407,0.16455629657374318,American Crow
(Intercept),-2.802386047838185,0.4147805716688899,-6.756309815965217,1.4155057221743253e-11,American Crow
log10(previous_checklists + 1),0.275995828622498,0.16875407565829179,1.6354913358143648,0.10194608950278064,American Crow
log10(MSID_total + 1),0.11402004758365962,0.33712044389328955,0.3382175410867428,0.7351992580879363,American Crow
occur,3.0116262694112295,0.6021232370472287,5.001677537276321,5.683359520268942e-7,American Crow
log10(previous_checklists + 1):log10(MSID_total + 1),-0.07670717830635913,0.13073313049317437,-0.5867462824227563,0.5573741189401048,American Crow
log10(previous_checklists + 1):occur,-0.24515467592168214,0.24644844285770184,-0.9947503545933674,0.3198576972544883,American Crow
log10(MSID_total + 1):occur,-0.1251215236974154,0.48954193620508746,-0.25558897909207373,0.7982682292232751,American Crow
log10(previous_checklists + 1):log10(MSID_total + 1):occur,0.13634993230381356,0.19010470663658377,0.7172359628342541,0.47322851256950926,American Crow
(Intercept),-1.8569240118061257,0.3596081496878002,-5.1637428501502125,2.4206018006798763e-7,American Goldfinch
log10(previous_checklists + 1),-0.14018312495734156,0.1437745150552626,-0.9750206766717967,0.32955000366046766,American Goldfinch
MSID_prop,-0.1179527309266108,0.6544487056406291,-0.1802322014085868,0.8569702792827696,American Goldfinch
occur,1.8693443572074333,0.46994553273201994,3.9777893968691083,6.955893818532842e-5,American Goldfinch
log10(previous_checklists + 1):MSID_prop,0.20788272939342484,0.2766065355916133,0.7515467013416722,0.4523237058802166,American Goldfinch
log10(previous_checklists + 1):occur,0.26220934018183734,0.18972276670061555,1.3820657622793702,0.1669515098907566,American Goldfinch
MSID_prop:occur,0.2863775812561538,0.8453577463313369,0.3387649577932755,0.7347868015699583,American Goldfinch
log10(previous_checklists + 1):MSID_prop:occur,-0.157668500137662,0.36118020868444,-0.4365369318323186,0.6624472097719025,American Goldfinch
(Intercept),-1.5462780821640913,0.3865939490167105,-3.9997472440968123,6.341017063548983e-5,American Goldfinch
log10(previous_checklists + 1),-0.2780061743497598,0.1567840677007114,-1.7731787319133216,0.07619909507813641,American Goldfinch
log10(MSID_total + 1),-0.3748996660382982,0.3650900739361774,-1.02686896413359,0.30448217016460294,American Goldfinch
occur,1.4478386643499568,0.5062576466203393,2.85988502892825,0.004237946191359577,American Goldfinch
log10(previous_checklists + 1):log10(MSID_total + 1),0.20730344401978987,0.13937678804186257,1.4873598892056916,0.13691978473371427,American Goldfinch
log10(previous_checklists + 1):occur,0.4804165066617642,0.20759720519817,2.314176176905484,0.02065806019040626,American Goldfinch
log10(MSID_total + 1):occur,0.5936618930069207,0.4732290920522935,1.254491541152586,0.20966339839247367,American Goldfinch
log10(previous_checklists + 1):log10(MSID_total + 1):occur,-0.27932715132878805,0.18193785316379027,-1.535288816875962,0.12471289989378194,American Goldfinch
(Intercept),-2.39455545453268,0.09187757897289146,-26.06245703578231,9.719911811838763e-150,American Herring Gull
log10(previous_checklists + 1),-0.15496475998110332,0.033201956443810014,-4.66733821072746,3.0512684321451198e-6,American Herring Gull
MSID_prop,-0.28550837013392305,0.16221898433396653,-1.7600182327990408,0.07840471520384809,American Herring Gull
occur,2.8240368501242488,0.5238290139219149,5.391142481743511,7.001113445786427e-8,American Herring Gull
log10(previous_checklists + 1):MSID_prop,0.05927597285829898,0.0633415468164711,0.9358150509024998,0.3493684208386082,American Herring Gull
log10(previous_checklists + 1):occur,1.5570790078673469,0.20602604470064612,7.557680438557018,4.1032060310033346e-14,American Herring Gull
MSID_prop:occur,0.11749087728055806,0.8665938925124209,0.13557778135261211,0.8921550711574634,American Herring Gull
log10(previous_checklists + 1):MSID_prop:occur,-1.5054905128351046,0.37678888190525633,-3.995581040561756,6.453577562720047e-5,American Herring Gull
(Intercept),-2.183826898186613,0.0980718901992014,-22.267613010729917,7.61510902303011e-110,American Herring Gull
log10(previous_checklists + 1),-0.13928374152534184,0.036674754799249275,-3.7978097546324414,1.4598029439813175e-4,American Herring Gull
log10(MSID_total + 1),-0.31613444716503664,0.07406237944190956,-4.268488935235939,1.9680158776472945e-5,American Herring Gull
occur,2.3521340038171124,0.580927565360839,4.048928203908005,5.145272473433915e-5,American Herring Gull
log10(previous_checklists + 1):log10(MSID_total + 1),0.02835785066581256,0.026500642867193964,1.070081613035799,0.28458257466674947,American Herring Gull
log10(previous_checklists + 1):occur,1.3586329452462986,0.23188862278143843,5.858989237806844,4.656928727401402e-9,American Herring Gull
log10(MSID_total + 1):occur,0.12777193805233747,0.48148378224015004,0.26537121864804275,0.7907235057513169,American Herring Gull
log10(previous_checklists + 1):log10(MSID_total + 1):occur,-0.2642125480783232,0.18266093592972057,-1.4464644382419012,0.1480469794576253,American Herring Gull
(Intercept),-2.610151732008549,0.08982461976114561,-29.058310950263458,1.208340425884317e-185,American Kestrel
log10(previous_checklists + 1),-0.2526575112025405,0.0343248587022504,-7.3607735255142,1.8284755539063609e-13,American Kestrel
MSID_prop,-0.7544863198368844,0.169645784938504,-4.44742155020464,8.690718246856504e-6,American Kestrel
occur,3.216026950054083,1.517578293181887,2.1191835469068816,0.03407495820732501,American Kestrel
log10(previous_checklists + 1):MSID_prop,0.21329634674240372,0.06966692693695342,3.06165861076994,0.002201143396400154,American Kestrel
log10(previous_checklists + 1):occur,2.0597471426517244,0.5824721480637383,3.536215679150949,4.059031607869166e-4,American Kestrel
MSID_prop:occur,2.0762042943365064,2.8750618982987315,0.7221424678074113,0.47020689063764654,American Kestrel
log10(previous_checklists + 1):MSID_prop:occur,-2.339349732617886,1.211512106721856,-1.9309338467510366,0.05349123383916651,American Kestrel
(Intercept),-2.293442900212593,0.08676864526073237,-26.431701144128652,5.923395891443663e-154,American Kestrel
log10(previous_checklists + 1),-0.26197301631070175,0.03539436737636834,-7.401545379381821,1.3460866114831862e-13,American Kestrel
log10(MSID_total + 1),-0.5845172681676001,0.06901852277049408,-8.468991289646747,2.4752718435122557e-17,American Kestrel
occur,0.6830677763948926,1.5553657588774246,0.4391685830141281,0.6605393875940495,American Kestrel
log10(previous_checklists + 1):log10(MSID_total + 1),0.10259629258246375,0.02620744275839946,3.914776940591876,9.048782314035701e-5,American Kestrel
log10(previous_checklists + 1):occur,2.5927643183193374,0.6320700022353962,4.102020834954508,4.0955738346305106e-5,American Kestrel
log10(MSID_total + 1):occur,2.175956830529342,1.3472079686687874,1.615160302740388,0.10627598476680013,American Kestrel
log10(previous_checklists + 1):log10(MSID_total + 1):occur,-1.014521349904117,0.5031766768413021,-2.0162328593463186,0.04377563190898611,American Kestrel
(Intercept),-2.287385568202827,0.12075170798876197,-18.94288375958796,5.0550994689714165e-80,American Redstart
log10(previous_checklists + 1),-0.009360377400247923,0.04700115069139885,-0.19915209016278104,0.842143775167605,American Redstart
MSID_prop,-0.13792578960769203,0.202892925713705,-0.6797959520891044,0.496633670112938,American Redstart
occur,2.184318041576208,0.46707202731826786,4.676619266021235,2.916430096580859e-6,American Redstart
log10(previous_checklists + 1):MSID_prop,-0.039932508532466694,0.08406006294924945,-0.47504733081838885,0.6347532379226735,American Redstart
log10(previous_checklists + 1):occur,0.03201714958760956,0.18752607171783375,0.17073439066000937,0.8644326200096617,American Redstart
MSID_prop:occur,0.02595876092121468,0.8034921408658385,0.03230742355891828,0.9742268891526683,American Redstart
log10(previous_checklists + 1):MSID_prop:occur,0.4347644637279695,0.3374982386896691,1.2881977263523945,0.19767714325626978,American Redstart
(Intercept),-1.9616455506911499,0.1261704766263636,-15.54757977573701,1.652328135767297e-54,American Redstart
log10(previous_checklists + 1),-0.0673688645395612,0.050371979596660565,-1.3374273768670282,0.18108317309550687,American Redstart
log10(MSID_total + 1),-0.36102656816490725,0.10294300083745378,-3.507053080130872,4.5309875717744426e-4,American Redstart
occur,1.4247010885967628,0.491157082727877,2.9007035400650243,0.003723259449877351,American Redstart
log10(previous_checklists + 1):log10(MSID_total + 1),0.048239893482117394,0.03848011422859031,1.2536317640729786,0.20997588027657027,American Redstart
log10(previous_checklists + 1):occur,0.4092367005211519,0.19910959681632812,2.0553338817649203,0.03984676690117214,American Redstart
log10(MSID_total + 1):occur,0.627485784504022,0.41951585511146017,1.495737948539053,0.13472195707414097,American Redstart
log10(previous_checklists + 1):log10(MSID_total + 1):occur,-0.17227933645671836,0.15619272466073103,-1.1029920684905736,0.27003060955992575,American Redstart
(Intercept),-2.9422119983929544,0.13020359198112363,-22.597010985837503,4.6371728478436087e-113,Acadian Flycatcher
log10(previous_checklists + 1),-0.1665771456912081,0.044237036208215466,-3.765558454394652,1.6617723866667393e-4,Acadian Flycatcher
MSID_prop,-0.5994312698914708,0.22955972684862244,-2.611221393754102,0.009021946624500642,Acadian Flycatcher
occur,6.222599443955793,1.181073206892393,5.268597583657429,1.3746995743837582e-7,Acadian Flycatcher
log10(previous_checklists + 1):MSID_prop,0.16675092375156042,0.08455529074054635,1.9720933165876897,0.04859895478642184,Acadian Flycatcher
log10(previous_checklists + 1):occur,0.581901542536887,0.42301432335292555,1.3756071849401659,0.16894328104588105,Acadian Flycatcher
MSID_prop:occur,5.2815970405675206,2.1712222674820265,2.4325455388280472,0.014993106017835087,Acadian Flycatcher
log10(previous_checklists + 1):MSID_prop:occur,-1.7321945329103219,0.8233735270355695,-2.1037772967353265,0.035397878115380116,Acadian Flycatcher
(Intercept),-2.5176267913419603,0.12001466165743961,-20.977660200618452,1.0493083273115992e-97,Acadian Flycatcher
log10(previous_checklists + 1),-0.18381346576380508,0.04261314655892222,-4.313538910102351,1.6066184792844887e-5,Acadian Flycatcher
log10(MSID_total + 1),-0.5865468546192111,0.08681692270308937,-6.75613505243879,1.4172132599583391e-11,Acadian Flycatcher
occur,3.9611628843642634,1.1111822083074405,3.564818492187641,3.641080737865032e-4,Acadian Flycatcher
log10(previous_checklists + 1):log10(MSID_total + 1),0.08258658311169383,0.030006370216225892,2.752301678496097,0.005917797795046222,Acadian Flycatcher
log10(previous_checklists + 1):occur,0.8986300262031156,0.40522463910475337,2.2176095416814317,0.026581466744603603,Acadian Flycatcher
log10(MSID_total + 1):occur,3.7724235338123893,1.0228845542428138,3.6880247317889268,2.2600168802205644e-4,Acadian Flycatcher
log10(previous_checklists + 1):log10(MSID_total + 1):occur,-0.9461847839039945,0.3514694537350655,-2.692082551837407,0.0071007366778615055,Acadian Flycatcher
(Intercept),-2.435801515747802,0.07368438142302836,-33.05722961510196,1.2246776385489278e-239,American Coot
log10(previous_checklists + 1),-0.17583528184990196,0.02800349250896025,-6.279048293481255,3.4065177691087676e-10,American Coot
MSID_prop,-0.5211751877191756,0.13379126156797952,-3.8954351847139566,9.802257296258928e-5,American Coot
occur,9.279372813726733,1.037789740767051,8.941476726170142,3.840039827675727e-19,American Coot
log10(previous_checklists + 1):MSID_prop,0.12813573598641484,0.05411392250748214,2.3678885220101713,0.017889925417947795,American Coot
log10(previous_checklists + 1):occur,0.5275013955004059,0.42614697178165756,1.237839126944867,0.21577571724847283,American Coot
MSID_prop:occur,-0.7260803733889117,1.931423546903511,-0.3759301653710163,0.7069688139269943,American Coot
log10(previous_checklists + 1):MSID_prop:occur,-0.508870279906604,0.8348970821415214,-0.6095006088670779,0.5421926692934346,American Coot
(Intercept),-2.258630895669132,0.07459675007710091,-30.277872606174938,2.242345779529855e-201,American Coot
log10(previous_checklists + 1),-0.13120741878970923,0.029237851485063925,-4.487587566300355,7.2034207772896664e-6,American Coot
log10(MSID_total + 1),-0.40413343576074606,0.05949576369278169,-6.792642209747405,1.100981962377449e-11,American Coot
occur,8.566266191491374,1.0787701409293045,7.940770574268936,2.009290277341292e-15,American Coot
log10(previous_checklists + 1):log10(MSID_total + 1),0.03707744779101969,0.021919337252329984,1.6915405499807448,0.090733609942443,American Coot
log10(previous_checklists + 1):occur,0.2057816842852156,0.44780890255280276,0.4595301324116734,0.6458535187696859,American Coot
log10(MSID_total + 1):occur,-0.2566665773113555,0.9827955231458558,-0.2611596932083947,0.7939693598779833,American Coot
log10(previous_checklists + 1):log10(MSID_total + 1):occur,0.17178690572101185,0.3788570363829847,0.45343464479660167,0.6502357942190492,American Coot
(Intercept),-3.0704452369847632,0.37677909015139216,-8.149192238218525,3.6636315602716654e-16,American Crow
log10(previous_checklists + 1),0.3315129064295128,0.1482928694137435,2.235528301125373,0.02538268576614385,American Crow
MSID_prop,0.7998166792155252,0.6285955146337352,1.2723868697687983,0.2032356969640456,American Crow
occur,3.312549326030714,0.5477330752495981,6.047743829457822,1.46888263836069e-9,American Crow
log10(previous_checklists + 1):MSID_prop,-0.3358981941110981,0.26748357489721364,-1.255771290779908,0.20919890330369129,American Crow
log10(previous_checklists + 1):occur,-0.3020191995086193,0.21672953007001322,-1.3935304497317635,0.16345944373771892,American Crow
MSID_prop:occur,-0.9484104831492488,0.9168267141962437,-1.034449005972403,0.3009263044853998,American Crow
log10(previous_checklists + 1):MSID_prop:occur,0.5452975465327514,0.3923291617981451,1.3898980744472653,0.16455983042440644,American Crow
(Intercept),-2.802386047838185,0.4147805716688899,-6.756309815965217,1.4155057221743253e-11,American Crow
log10(previous_checklists + 1),0.275995828622498,0.16875407565829179,1.6354913358143648,0.10194608950278064,American Crow
log10(MSID_total + 1),0.11402004758365962,0.33712044389328955,0.3382175410867428,0.7351992580879363,American Crow
occur,3.0116262694112295,0.6021232370472287,5.001677537276321,5.683359520268942e-7,American Crow
log10(previous_checklists + 1):log10(MSID_total + 1),-0.07670717830635913,0.13073313049317437,-0.5867462824227563,0.5573741189401048,American Crow
log10(previous_checklists + 1):occur,-0.24515467592168214,0.24644844285770184,-0.9947503545933674,0.3198576972544883,American Crow
log10(MSID_total + 1):occur,-0.1251215236974154,0.48954193620508746,-0.25558897909207373,0.7982682292232751,American Crow
log10(previous_checklists + 1):log10(MSID_total + 1):occur,0.13634993230381356,0.19010470663658377,0.7172359628342541,0.47322851256950926,American Crow
(Intercept),-1.856923141402628,0.3596078661929684,-5.163744500533779,2.4205804477779603e-7,American Goldfinch
log10(previous_checklists + 1),-0.1401831199546692,0.14377443258582873,-0.9750212011512156,0.32954974350434585,American Goldfinch
MSID_prop,-0.11795349774338373,0.6544483461961929,-0.18023347209746515,0.8569692817538246,American Goldfinch
occur,1.86934794647125,0.4699451694024232,3.9778001098474762,6.955580517498149e-5,American Goldfinch
log10(previous_checklists + 1):MSID_prop,0.20787679875597223,0.2766064467813384,0.7515255019356147,0.45233645903348807,American Goldfinch
log10(previous_checklists + 1):occur,0.26220760743899435,0.1897226604188845,1.382057403475536,0.16695407622078223,American Goldfinch
MSID_prop:occur,0.28637502664389486,0.8453572873171831,0.3387621198046705,0.7347889396833409,American Goldfinch
log10(previous_checklists + 1):MSID_prop:occur,-0.15765950240629312,0.36118009327692324,-0.436512159282856,0.662465179129859,American Goldfinch
(Intercept),-1.5462780821640913,0.3865939490167105,-3.9997472440968123,6.341017063548983e-5,American Goldfinch
log10(previous_checklists + 1),-0.2780061743497598,0.1567840677007114,-1.7731787319133216,0.07619909507813641,American Goldfinch
log10(MSID_total + 1),-0.3748996660382982,0.3650900739361774,-1.02686896413359,0.30448217016460294,American Goldfinch
occur,1.4478386643499568,0.5062576466203393,2.85988502892825,0.004237946191359577,American Goldfinch
log10(previous_checklists + 1):log10(MSID_total + 1),0.20730344401978987,0.13937678804186257,1.4873598892056916,0.13691978473371427,American Goldfinch
log10(previous_checklists + 1):occur,0.4804165066617642,0.20759720519817,2.314176176905484,0.02065806019040626,American Goldfinch
log10(MSID_total + 1):occur,0.5936618930069207,0.4732290920522935,1.254491541152586,0.20966339839247367,American Goldfinch
log10(previous_checklists + 1):log10(MSID_total + 1):occur,-0.27932715132878805,0.18193785316379027,-1.535288816875962,0.12471289989378194,American Goldfinch
(Intercept),-2.3945555967174763,0.09187758006078428,-26.062458274731316,9.71959749971214e-150,American Herring Gull
log10(previous_checklists + 1),-0.15496449314505886,0.033201954077651634,-4.667330506591059,3.05138280589314e-6,American Herring Gull
MSID_prop,-0.2855110016111434,0.16221900502758127,-1.7600342300373462,0.07840200295376012,American Herring Gull
occur,2.8240382720825448,0.5238287954995936,5.391147444250677,7.000920081002839e-8,American Herring Gull
log10(previous_checklists + 1):MSID_prop,0.059276260446078824,0.06334155117496161,0.9358195267802384,0.3493661159459103,American Herring Gull
log10(previous_checklists + 1):occur,1.5570778231581568,0.20602596120645605,7.557677751095787,4.103290783928981e-14,American Herring Gull
MSID_prop:occur,0.11751493927418921,0.8665928799432228,0.1356057059710536,0.8921329944129942,American Herring Gull
log10(previous_checklists + 1):MSID_prop:occur,-1.5054931440170023,0.3767884856284134,-3.995592225983548,6.453272843992857e-5,American Herring Gull
(Intercept),-2.183826898186613,0.0980718901992014,-22.267613010729917,7.61510902303011e-110,American Herring Gull
log10(previous_checklists + 1),-0.13928374152534184,0.036674754799249275,-3.7978097546324414,1.4598029439813175e-4,American Herring Gull
log10(MSID_total + 1),-0.31613444716503664,0.07406237944190956,-4.268488935235939,1.9680158776472945e-5,American Herring Gull
occur,2.3521340038171124,0.580927565360839,4.048928203908005,5.145272473433915e-5,American Herring Gull
log10(previous_checklists + 1):log10(MSID_total + 1),0.02835785066581256,0.026500642867193964,1.070081613035799,0.28458257466674947,American Herring Gull
log10(previous_checklists + 1):occur,1.3586329452462986,0.23188862278143843,5.858989237806844,4.656928727401402e-9,American Herring Gull
log10(MSID_total + 1):occur,0.12777193805233747,0.48148378224015004,0.26537121864804275,0.7907235057513169,American Herring Gull
log10(previous_checklists + 1):log10(MSID_total + 1):occur,-0.2642125480783232,0.18266093592972057,-1.4464644382419012,0.1480469794576253,American Herring Gull
(Intercept),-2.6101555623044446,0.08982466419572929,-29.058339217576993,1.2073471299140408e-185,American Kestrel
log10(previous_checklists + 1),-0.2526563852910601,0.03432486958711415,-7.3607383896925125,1.828956941087294e-13,American Kestrel
MSID_prop,-0.7544785525350791,0.16964578477799763,-4.4473757690024955,8.692570050455618e-6,American Kestrel
occur,3.2160591762062123,1.517577975526453,2.119205225741729,0.03407312685868748,American Kestrel
log10(previous_checklists + 1):MSID_prop,0.21329393844015854,0.06966692366259329,3.0616241858643147,0.0022013965307067433,American Kestrel
log10(previous_checklists + 1):occur,2.059737781436086,0.5824720372014559,3.5362002806732122,4.0592682228430106e-4,American Kestrel
MSID_prop:occur,2.076111357548675,2.8750639011186685,0.722109639629531,0.4702270720672885,American Kestrel
log10(previous_checklists + 1):MSID_prop:occur,-2.3393340769775555,1.2115130251423927,-1.9309194605667626,0.05349301317131623,American Kestrel
(Intercept),-2.293442900212593,0.08676864526073237,-26.431701144128652,5.923395891443663e-154,American Kestrel
log10(previous_checklists + 1),-0.26197301631070175,0.03539436737636834,-7.401545379381821,1.3460866114831862e-13,American Kestrel
log10(MSID_total + 1),-0.5845172681676001,0.06901852277049408,-8.468991289646747,2.4752718435122557e-17,American Kestrel
occur,0.6830677763948926,1.5553657588774246,0.4391685830141281,0.6605393875940495,American Kestrel
log10(previous_checklists + 1):log10(MSID_total + 1),0.10259629258246375,0.02620744275839946,3.914776940591876,9.048782314035701e-5,American Kestrel
log10(previous_checklists + 1):occur,2.5927643183193374,0.6320700022353962,4.102020834954508,4.0955738346305106e-5,American Kestrel
log10(MSID_total + 1):occur,2.175956830529342,1.3472079686687874,1.615160302740388,0.10627598476680013,American Kestrel
log10(previous_checklists + 1):log10(MSID_total + 1):occur,-1.014521349904117,0.5031766768413021,-2.0162328593463186,0.04377563190898611,American Kestrel
(Intercept),-2.2873897973481436,0.12075162197667302,-18.94293227622255,5.050442869400611e-80,American Redstart
log10(previous_checklists + 1),-0.00935827011387586,0.047001125378375135,-0.19910736261182227,0.8421787620074939,American Redstart
MSID_prop,-0.13791899604081082,0.20289283209285025,-0.6797627822440503,0.496654675939089,American Redstart
occur,2.1843545415401286,0.4670712513873336,4.676705181601262,2.915209006044787e-6,American Redstart
log10(previous_checklists + 1):MSID_prop,-0.039936611915157565,0.08406004355784859,-0.4750962553055771,0.6347183674619001,American Redstart
log10(previous_checklists + 1):occur,0.03200346621374238,0.18752586063360008,0.1706616149133307,0.8644898468195399,American Redstart
MSID_prop:occur,0.025912975903324566,0.8034913257477301,0.03225047374246376,0.9742723048657788,American Redstart
log10(previous_checklists + 1):MSID_prop:occur,0.43478628043496104,0.3374980337144843,1.288263151194476,0.19765437557936555,American Redstart
(Intercept),-1.9616455506911499,0.1261704766263636,-15.54757977573701,1.652328135767297e-54,American Redstart
log10(previous_checklists + 1),-0.0673688645395612,0.050371979596660565,-1.3374273768670282,0.18108317309550687,American Redstart
log10(MSID_total + 1),-0.36102656816490725,0.10294300083745378,-3.507053080130872,4.5309875717744426e-4,American Redstart
occur,1.4247010885967628,0.491157082727877,2.9007035400650243,0.003723259449877351,American Redstart
log10(previous_checklists + 1):log10(MSID_total + 1),0.048239893482117394,0.03848011422859031,1.2536317640729786,0.20997588027657027,American Redstart
log10(previous_checklists + 1):occur,0.4092367005211519,0.19910959681632812,2.0553338817649203,0.03984676690117214,American Redstart
log10(MSID_total + 1):occur,0.627485784504022,0.41951585511146017,1.495737948539053,0.13472195707414097,American Redstart
log10(previous_checklists + 1):log10(MSID_total + 1):occur,-0.17227933645671836,0.15619272466073103,-1.1029920684905736,0.27003060955992575,American Redstart
(Intercept),-2.5034222979474237,0.4980293153217159,-5.026656505812852,4.99105176549961e-7,American Robin
log10(previous_checklists + 1),-0.429864442931332,0.20383654911673443,-2.1088683300125655,0.03495594853367865,American Robin
MSID_prop,-1.3997963364232493,0.9175465022019119,-1.5255862597307523,0.12711293618093622,American Robin
occur,3.485423702710538,0.6132017165000292,5.68397577652634,1.3159892516132294e-8,American Robin
log10(previous_checklists + 1):MSID_prop,0.7874314179765105,0.40114555901763266,1.9629568376747213,0.04965118954182261,American Robin
log10(previous_checklists + 1):occur,0.6174895434880601,0.25248950507379003,2.44560479180154,0.014460941766074892,American Robin
MSID_prop:occur,2.46413810924892,1.1185923249447522,2.2028920226773634,0.027602360020444507,American Robin
log10(previous_checklists + 1):MSID_prop:occur,-1.014114370869806,0.4922892937375675,-2.0599968022266517,0.03939884652417395,American Robin
(Intercept),-2.9945027914688915,0.5537642560822343,-5.40754076952234,6.38960012922024e-8,American Robin
log10(previous_checklists + 1),-0.5822832456713457,0.230526157699755,-2.52588795771164,0.011540628036424121,American Robin
log10(MSID_total + 1),-0.24810443500814267,0.5222715595052304,-0.4750487184161097,0.634752248914489,American Robin
occur,4.29842001525798,0.6837958713277682,6.286115777375893,3.255072294285774e-10,American Robin
log10(previous_checklists + 1):log10(MSID_total + 1),0.4509189425188532,0.20189578657801674,2.2334242341635435,0.02552098154103328,American Robin
log10(previous_checklists + 1):occur,0.8159173327303122,0.2866493720484421,2.8463949769003047,0.004421731202486856,American Robin
log10(MSID_total + 1):occur,0.4899348420930238,0.6402149753993641,0.7652661385925937,0.4441130831443688,American Robin
log10(previous_checklists + 1):log10(MSID_total + 1):occur,-0.6166130544301928,0.24856962690041726,-2.4806452104352323,0.013114483458546709,American Robin
(Intercept),-2.921921816344025,0.17999675233028822,-16.233191868831018,2.9377750199514863e-59,American Tree Sparrow
